record_type,algorithm,order,value
compile_returncode,gemver,0,0
compile_returncode,gemver,1,0
compile_returncode,gemver,2,0
compile_returncode,gemver,3,0
compile_returncode,gemver,4,0
compile_returncode,gemver,5,0
compile_returncode,gemver,6,0
compile_returncode,gemver,7,0
compile_returncode,gemver,8,0
compile_returncode,gemver,9,0
run_returncode,gemver,0,0
run_returncode,gemver,1,0
run_returncode,gemver,2,0
run_returncode,gemver,3,0
run_returncode,gemver,4,0
run_returncode,gemver,5,0
run_returncode,gemver,6,0
run_returncode,gemver,7,0
run_returncode,gemver,8,0
run_returncode,gemver,9,0
compile_time,doitgen,0,10.009943
compile_time,doitgen,1,5.228675
compile_time,doitgen,2,5.310299
compile_time,doitgen,3,5.238211
compile_time,doitgen,4,4.959495
compile_time,doitgen,5,5.585193
compile_time,doitgen,6,4.806175
compile_time,doitgen,7,8.622148
compile_time,doitgen,8,5.816670
compile_time,doitgen,9,4.927403
run_time,doitgen,0,20.710602
run_time,doitgen,1,20.426286
run_time,doitgen,2,20.562865
run_time,doitgen,3,20.439335
run_time,doitgen,4,20.451787
run_time,doitgen,5,20.734634
run_time,doitgen,6,20.855763
run_time,doitgen,7,20.448961
run_time,doitgen,8,20.462796
run_time,doitgen,9,20.449281
compile_returncode,doitgen,0,0
compile_returncode,doitgen,1,0
compile_returncode,doitgen,2,0
compile_returncode,doitgen,3,0
compile_returncode,doitgen,4,0
compile_returncode,doitgen,5,0
compile_returncode,doitgen,6,0
compile_returncode,doitgen,7,0
compile_returncode,doitgen,8,0
compile_returncode,doitgen,9,0
run_returncode,doitgen,0,0
run_returncode,doitgen,1,0
run_returncode,doitgen,2,0
run_returncode,doitgen,3,0
run_returncode,doitgen,4,0
run_returncode,doitgen,5,0
run_returncode,doitgen,6,0
run_returncode,doitgen,7,0
run_returncode,doitgen,8,0
run_returncode,doitgen,9,0
compile_time,3mm,0,17.699738
compile_time,3mm,1,14.606065
compile_time,3mm,2,15.244118
compile_time,3mm,3,14.032524
compile_time,3mm,4,14.374122
compile_time,3mm,5,14.761803
compile_time,3mm,6,16.368563
compile_time,3mm,7,13.392582
compile_time,3mm,8,12.453963
compile_time,3mm,9,13.277227
run_time,3mm,0,35.939307
run_time,3mm,1,35.861755
run_time,3mm,2,36.297062
run_time,3mm,3,36.618371
run_time,3mm,4,35.710214
run_time,3mm,5,35.903264
run_time,3mm,6,35.586782
run_time,3mm,7,35.467698
run_time,3mm,8,36.457799
run_time,3mm,9,35.871654
compile_returncode,3mm,0,0
compile_returncode,3mm,1,0
compile_returncode,3mm,2,0
compile_returncode,3mm,3,0
